,alpha,vanAlbada_Real,vanAlbada_Imag,WENO_Z3_Real,WENO_Z3_Imag,ROUNDL_Real,ROUNDL_Imag,Variational3_Real,Variational3_Imag
31,1.978473980432378,1.2515505756949392,-1.0613998604327886,1.0494534020736914,-0.9481041829380523,1.2883249811377921,-0.7039578986597987,1.7004598162743476,-0.2061790846706947
32,2.0422957217366484,1.221455821239857,-1.145638190427379,1.005416115673845,-1.0004369004810763,1.2629570056480157,-0.7562182909404578,1.71013633554455,-0.24411663299114206
33,2.1061174630409187,1.1827813984500997,-1.2319248819061999,0.9566651477602746,-1.0494617508033732,1.2321876980101096,-0.8074807350985516,1.7107970219104782,-0.28636307388355375
34,2.169939204345189,1.1405212270374459,-1.3109052700955326,0.9038760935500664,-1.0947457112250556,1.1962388198499418,-0.8574488895883778,1.7015633646627222,-0.3328434033425067
35,2.2337609456494594,1.0884718886548213,-1.393033008495351,0.8477895835472564,-1.1359386251991688,1.1553264681175115,-0.905872341547813,1.6816188793266773,-0.3833426711415349
36,2.2975826869537297,1.032201055871213,-1.4693645990315347,0.7891972768788905,-1.172783905463365,1.1096572139014524,-0.9525403823402993,1.6502437584877938,-0.43749088903966504
37,2.3614044282579996,0.9707194811589483,-1.5419531416021661,0.7289248642290496,-1.2051278696203684,1.0594086154932227,-0.9972811663270237,1.6068495286671596,-0.4947542434096998
38,2.42522616956227,0.906640233867556,-1.6081892096130737,0.667810663819712,-1.2329277417563618,1.0047342589847994,-1.039948687643575,1.5510115000702174,-0.5544342187209701
39,2.48904791086654,0.8320766062214882,-1.6755589272094074,0.6066834597837332,-1.2562560630958992,0.9457454352460527,-1.0804187987334795,1.4824967566284086,-0.6156756870479138
40,2.5528696521708105,0.7629868302677537,-1.7303397133890954,0.5463362191203404,-1.275302587246026,0.8825233888619011,-1.1185731998246602,1.4012856559246203,-0.6774842914519947
41,2.616691393475081,0.6870089117995419,-1.7832179523467246,0.4874922931983346,-1.2903736832770614,0.8151070149617258,-1.1542928226390354,1.3075852856624681,-0.7387526456335473
42,2.680513134779351,0.609266131193244,-1.8302791300538352,0.4307701014949831,-1.3018857733785048,0.7435173520015398,-1.1874408434423336,1.2018340019795808,-0.7982941012532947
43,2.7443348760836215,0.5307212750359174,-1.8713717847115878,0.3766385865024694,-1.3103539561986117,0.6677471580855209,-1.2178582660699835,1.0846969649242344,-0.8548822025270842
44,2.8081566173878914,0.45031441242744125,-1.9071574379600666,0.3253527294586541,-1.316375197238158,0.5878082843315453,-1.2453475813143562,0.9570533769779588,-0.9072935339692608
45,2.8719783586921617,0.3738636407449243,-1.9356048124254237,0.27687528061208055,-1.3205994781040031,0.5037101779037882,-1.269676718855371,0.8199768072440539,-0.9543515124148895
46,2.935800099996432,0.2971845587951468,-1.9589409127980615,0.23075600603765453,-1.3236878130628782,0.4155507612468954,-1.2905653302419924,0.6747104454924691,-0.9949687750817106
47,2.9996218413007023,0.22246068078200615,-1.9767034993236399,0.185905230476198,-1.3262507183304437,0.32342476111340057,-1.307706804010207,0.5226393056254766,-1.0281861236184717
48,3.0634435826049726,0.14890432284610486,-1.9893898350537662,0.14017604282288562,-1.3287433206961972,0.2275838178045968,-1.320757784588273,0.36526126341161064,-1.0532064180529601
