x,rho,rhoU,rhoE,p
0.23473473473473472,0.07377150674197722,0.48826326326326325,1.254281546311076,-0.14461012796987857
0.2357357357357357,0.07364785957128302,0.4882132132132132,1.2542049932815698,-0.14559313856629538
0.23673673673673679,0.07352411220028837,0.48816316316316316,1.254128540452364,-0.14658020943950056
0.23773773773773776,0.07340026462899335,0.4881131131131131,1.254052187823459,-0.14757136524535605
0.23873873873873874,0.07327631685739794,0.4880630630630631,1.253975935394854,-0.14856663084018926
0.23973973973973972,0.07315226888550214,0.48801301301301303,1.25389978316655,-0.14956603128282905
0.2407407407407407,0.07302812071330592,0.487962962962963,1.2538237311385458,-0.15056959183666888
0.2417417417417418,0.07290387234080928,0.4879129129129129,1.2537477793108422,-0.15157733797175377
0.24274274274274277,0.07277952376801225,0.48786286286286284,1.2536719276834392,-0.15258929536689347
0.24374374374374375,0.07265507499491484,0.4878128128128128,1.2535961762563363,-0.15360548991180228
0.24474474474474472,0.07253052602151702,0.48776276276276276,1.253520525029534,-0.1546259477092642
0.2457457457457457,0.0724058768478188,0.4877127127127127,1.253444974003032,-0.15565069507732546
0.2467467467467468,0.07228112747382016,0.48766266266266267,1.2533695231768305,-0.15667975855151353
0.24774774774774777,0.07215627789952116,0.48761261261261263,1.2532941725509292,-0.1577131648870843
0.24874874874874875,0.07203132812492173,0.4875625625625626,1.2532189221253285,-0.15875094106129764
0.24974974974974973,0.0719062781500219,0.4875125125125125,1.253143771900028,-0.15979311427571954
0.2507507507507507,0.07178112797482168,0.48746246246246244,1.2530687218750283,-0.16083971195855462
0.2517517517517518,0.07165587759932104,0.4874124124124124,1.2529937720503286,-0.1618907617670077
0.2527527527527528,0.07153052702352002,0.48736236236236236,1.2529189224259294,-0.16294629158967347
0.25375375375375375,0.0714050762474186,0.4873123123123123,1.2528441730018305,-0.164006329548958
0.25475475475475473,0.07127952527101677,0.48726226226226227,1.252769523778032,-0.1650709040035297
0.2557557557557557,0.07115387409431453,0.4872122122122122,1.2526949747545342,-0.16614004355080186
0.2567567567567568,0.0710281227173119,0.4871621621621622,1.2526205259313365,-0.16721377702944518
0.2577577577577578,0.07090227114000888,0.48711211211211214,1.2525461773084396,-0.1682921335219338
0.25875875875875876,0.07077631936240546,0.48706206206206204,1.2524719288858426,-0.1693751423571233
0.25975975975975973,0.07065026738450163,0.487012012012012,1.2523977806635465,-0.17046283311285998
0.2607607607607607,0.07052411520629741,0.48696196196196195,1.2523237326415504,-0.17155523561862518
0.2617617617617618,0.07039786282779276,0.4869119119119119,1.2522497848198546,-0.17265237995821314
0.2627627627627628,0.07027151024898773,0.48686186186186187,1.2521759371984595,-0.173754296472441
